id;age;job;education;default;day_of_week;duration;campaign;previous;cons.conf.idx;euribor3m;nr.employed;class
5165;55-64;retired;high.school;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5166;35-44;blue-collar;basic.4y;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5167;35-44;technician;university.degree;unknown;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5168;35-44;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5169;45-54;blue-collar;unknown;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5170;45-54;blue-collar;basic.9y;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5171;35-44;self-employed;high.school;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5172;35-44;technician;professional.course;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5173;55-64;services;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5174;45-54;technician;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5175;55-64;retired;high.school;no;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;yes
5176;55-64;blue-collar;basic.4y;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5177;45-54;management;university.degree;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5178;45-54;admin.;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5179;35-44;technician;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5180;45-54;blue-collar;basic.4y;no;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5181;55-64;admin.;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5182;35-44;services;high.school;no;fri;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
5183;45-54;blue-collar;basic.6y;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5184;35-44;technician;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5185;35-44;blue-collar;basic.6y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5186;17-24;services;high.school;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5187;17-24;entrepreneur;high.school;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5188;55-64;unemployed;university.degree;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5189;45-54;technician;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5190;35-44;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5191;45-54;technician;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5192;35-44;admin.;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5193;35-44;blue-collar;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5194;35-44;technician;professional.course;no;fri;between 0-1;2;0;Above -40;4.6-5.1;Above 52k;no
5195;45-54;admin.;unknown;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5196;35-44;blue-collar;basic.4y;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5197;55-64;retired;university.degree;no;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5198;17-24;admin.;basic.6y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5199;45-54;management;basic.4y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5200;45-54;services;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5201;35-44;self-employed;university.degree;unknown;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5202;45-54;services;high.school;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5203;45-54;blue-collar;basic.6y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5204;35-44;housemaid;unknown;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5205;17-24;unemployed;basic.9y;no;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
5206;35-44;entrepreneur;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5207;45-54;services;basic.9y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5208;45-54;blue-collar;basic.4y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5209;35-44;blue-collar;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5210;55-64;technician;university.degree;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5211;17-24;services;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5212;35-44;blue-collar;basic.9y;unknown;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5213;35-44;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5214;55-64;blue-collar;unknown;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5215;55-64;admin.;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5216;45-54;blue-collar;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5217;35-44;admin.;university.degree;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5218;35-44;blue-collar;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5219;17-24;technician;university.degree;no;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5220;35-44;admin.;high.school;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5221;17-24;blue-collar;basic.9y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5222;17-24;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5223;55-64;retired;basic.4y;no;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
5224;45-54;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5225;17-24;student;basic.9y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5226;35-44;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5227;45-54;services;unknown;unknown;fri;between 0-1;2;0;Above -40;4.6-5.1;Above 52k;no
5228;45-54;technician;university.degree;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5229;35-44;unemployed;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5230;55-64;blue-collar;basic.4y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5231;17-24;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5232;17-24;technician;professional.course;no;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5233;55-64;technician;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5234;45-54;blue-collar;basic.9y;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5235;35-44;admin.;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5236;35-44;blue-collar;basic.6y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5237;45-54;management;basic.6y;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5238;35-44;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5239;35-44;entrepreneur;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5240;17-24;blue-collar;basic.9y;no;fri;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
5241;35-44;entrepreneur;basic.9y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5242;35-44;blue-collar;unknown;no;fri;between 6-10;4;0;Above -40;4.6-5.1;Above 52k;no
5243;35-44;technician;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5244;35-44;blue-collar;unknown;no;fri;between 2 - 5;5;0;Above -40;4.6-5.1;Above 52k;no
5245;17-24;blue-collar;basic.9y;no;fri;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
5246;45-54;management;university.degree;no;fri;between 2 - 5;5;0;Above -40;4.6-5.1;Above 52k;no
5247;45-54;entrepreneur;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5248;17-24;services;high.school;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5249;35-44;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5250;25-34;services;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5251;17-24;services;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5252;35-44;blue-collar;basic.9y;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5253;35-44;admin.;high.school;unknown;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5254;17-24;technician;university.degree;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5255;35-44;entrepreneur;basic.6y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5256;45-54;housemaid;basic.4y;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5257;55-64;blue-collar;basic.4y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5258;35-44;management;unknown;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5259;35-44;services;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5260;17-24;services;university.degree;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5261;17-24;blue-collar;basic.6y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5262;35-44;admin.;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5263;45-54;blue-collar;basic.4y;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5264;55-64;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5265;45-54;technician;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5266;17-24;blue-collar;basic.9y;unknown;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5267;35-44;admin.;high.school;unknown;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5268;35-44;blue-collar;basic.9y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5269;35-44;blue-collar;basic.6y;unknown;fri;between 0-1;4;0;Above -40;4.6-5.1;Above 52k;no
5270;35-44;blue-collar;basic.9y;no;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
5271;35-44;admin.;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5272;17-24;entrepreneur;basic.6y;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5273;17-24;admin.;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5274;45-54;technician;professional.course;no;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
5275;17-24;admin.;university.degree;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5276;35-44;admin.;high.school;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5277;35-44;admin.;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5278;35-44;admin.;university.degree;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5279;55-64;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5280;45-54;retired;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5281;35-44;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5282;35-44;technician;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5283;17-24;technician;university.degree;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5284;17-24;management;university.degree;no;fri;between 0-1;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5285;17-24;self-employed;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5286;45-54;technician;basic.6y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5287;35-44;admin.;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5288;55-64;management;university.degree;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5289;35-44;blue-collar;basic.6y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5290;45-54;technician;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5291;35-44;blue-collar;basic.6y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5292;35-44;blue-collar;basic.6y;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5293;17-24;services;basic.6y;no;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5294;17-24;blue-collar;basic.4y;unknown;fri;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
5295;17-24;blue-collar;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5296;35-44;self-employed;university.degree;no;fri;between 2 - 5;6;0;Above -40;4.6-5.1;Above 52k;no
5297;17-24;services;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5298;35-44;admin.;university.degree;no;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5299;35-44;blue-collar;basic.6y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5300;17-24;services;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5301;55-64;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5302;35-44;housemaid;high.school;no;fri;between 2 - 5;6;0;Above -40;4.6-5.1;Above 52k;no
5303;45-54;blue-collar;basic.4y;unknown;fri;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
5304;35-44;blue-collar;basic.4y;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5305;35-44;retired;basic.9y;no;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5306;35-44;admin.;high.school;no;fri;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
5307;35-44;blue-collar;basic.6y;unknown;fri;between 6-10;5;0;Above -40;4.6-5.1;Above 52k;no
5308;45-54;admin.;university.degree;no;fri;between 2 - 5;6;0;Above -40;4.6-5.1;Above 52k;no
5309;35-44;admin.;basic.6y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5310;45-54;admin.;high.school;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5311;17-24;blue-collar;basic.6y;unknown;fri;between 6-10;4;0;Above -40;4.6-5.1;Above 52k;no
5312;17-24;services;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5313;35-44;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5314;35-44;blue-collar;basic.4y;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5315;35-44;blue-collar;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5316;35-44;management;university.degree;no;fri;between 2 - 5;6;0;Above -40;4.6-5.1;Above 52k;no
5317;17-24;blue-collar;basic.6y;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5318;45-54;services;high.school;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5319;17-24;blue-collar;basic.6y;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5320;45-54;admin.;high.school;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5321;35-44;technician;university.degree;unknown;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5322;17-24;blue-collar;unknown;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5323;17-24;blue-collar;basic.9y;no;fri;between 6-10;4;0;Above -40;4.6-5.1;Above 52k;no
5324;45-54;services;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5325;35-44;blue-collar;professional.course;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5326;35-44;blue-collar;basic.4y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5327;45-54;technician;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5328;45-54;admin.;university.degree;no;fri;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
5329;35-44;admin.;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5330;45-54;technician;high.school;no;fri;between 11-20;3;0;Above -40;4.6-5.1;Above 52k;yes
5331;45-54;admin.;university.degree;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5332;35-44;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5333;35-44;blue-collar;basic.9y;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5334;17-24;blue-collar;basic.9y;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5335;35-44;blue-collar;basic.6y;unknown;fri;between 0-1;5;0;Above -40;4.6-5.1;Above 52k;no
5336;35-44;blue-collar;basic.9y;unknown;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5337;45-54;services;high.school;unknown;fri;between 0-1;4;0;Above -40;4.6-5.1;Above 52k;no
5338;45-54;blue-collar;basic.9y;unknown;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5339;55-64;technician;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5340;35-44;blue-collar;high.school;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5341;45-54;blue-collar;basic.6y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5342;35-44;blue-collar;basic.6y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5343;45-54;admin.;basic.9y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5344;45-54;blue-collar;basic.4y;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5345;45-54;housemaid;basic.4y;unknown;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5346;45-54;blue-collar;basic.4y;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5347;45-54;technician;unknown;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5348;17-24;admin.;university.degree;no;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;yes
5349;17-24;self-employed;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5350;17-24;blue-collar;basic.6y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5351;17-24;technician;professional.course;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5352;35-44;admin.;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5353;45-54;technician;professional.course;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5354;35-44;entrepreneur;university.degree;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5355;35-44;blue-collar;basic.6y;unknown;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5356;45-54;blue-collar;high.school;no;fri;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
5357;45-54;blue-collar;unknown;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5358;35-44;admin.;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5359;45-54;blue-collar;basic.9y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5360;35-44;housemaid;high.school;no;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5361;45-54;blue-collar;basic.6y;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5362;35-44;blue-collar;basic.4y;unknown;fri;between 0-1;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5363;45-54;blue-collar;basic.9y;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5364;17-24;services;high.school;no;fri;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;yes
5365;35-44;admin.;high.school;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5366;17-24;blue-collar;basic.9y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5367;35-44;admin.;university.degree;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5368;45-54;entrepreneur;university.degree;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5369;35-44;admin.;professional.course;unknown;fri;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
5370;35-44;management;university.degree;unknown;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5371;17-24;technician;professional.course;no;fri;between 11-20;3;0;Above -40;4.6-5.1;Above 52k;no
5372;55-64;blue-collar;basic.4y;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5373;35-44;services;unknown;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5374;35-44;student;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5375;45-54;admin.;university.degree;no;fri;between 2 - 5;6;0;Above -40;4.6-5.1;Above 52k;no
5376;45-54;technician;unknown;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5377;17-24;self-employed;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5378;17-24;management;university.degree;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5379;35-44;services;high.school;unknown;fri;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
5380;45-54;services;professional.course;no;fri;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5381;35-44;admin.;university.degree;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5382;35-44;entrepreneur;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5383;17-24;services;high.school;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5384;35-44;self-employed;university.degree;no;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5385;55-64;retired;high.school;unknown;fri;between 6-10;6;0;Above -40;4.6-5.1;Above 52k;yes
5386;35-44;student;university.degree;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5387;55-64;technician;professional.course;no;fri;between 21-40;2;0;Above -40;4.6-5.1;Above 52k;no
5388;35-44;management;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5389;17-24;admin.;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5390;45-54;management;university.degree;no;fri;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
5391;17-24;blue-collar;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5392;35-44;blue-collar;basic.4y;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5393;17-24;admin.;university.degree;no;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5394;45-54;blue-collar;illiterate;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5395;17-24;management;university.degree;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5396;55-64;retired;basic.4y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5397;45-54;entrepreneur;unknown;unknown;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5398;17-24;blue-collar;basic.9y;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5399;55-64;management;unknown;no;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5400;17-24;services;high.school;no;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5401;17-24;blue-collar;unknown;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5402;17-24;blue-collar;basic.9y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5403;35-44;entrepreneur;high.school;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5404;45-54;services;high.school;unknown;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5405;35-44;blue-collar;professional.course;no;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5406;45-54;blue-collar;basic.9y;unknown;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5407;35-44;admin.;university.degree;no;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5408;17-24;admin.;university.degree;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5409;17-24;housemaid;high.school;unknown;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5410;35-44;services;high.school;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
5411;45-54;blue-collar;basic.4y;no;fri;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
5412;35-44;technician;university.degree;unknown;fri;between 0-1;5;0;Above -40;4.6-5.1;Above 52k;no
5413;17-24;housemaid;basic.6y;unknown;fri;between 0-1;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5414;45-54;blue-collar;basic.4y;no;fri;between 2 - 5;Above 7;0;Above -40;4.6-5.1;Above 52k;no
5415;35-44;blue-collar;unknown;unknown;fri;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
5416;45-54;blue-collar;basic.4y;no;fri;between 21-40;2;0;Above -40;4.6-5.1;Above 52k;yes
5417;17-24;services;high.school;unknown;fri;between 2 - 5;4;0;Above -40;4.6-5.1;Above 52k;no
5418;35-44;blue-collar;basic.9y;unknown;fri;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
5419;17-24;unemployed;professional.course;no;fri;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
